Fixture Name,KCT8526HW,,
Fixture Revision,,,
Date file created,4/28/2022,,
File revision,1,,
,,,
,,,
,Site 1,,
Freq(MHz),TX,ANT,RX
5150,-0.6,-0.6,-0.6
5190,-0.6,-0.6,-0.6
5510,-0.6,-0.6,-0.6
5795,-0.6,-0.6,-0.6
5775,-0.6,-0.6,-0.6
5250,-0.6,-0.6,-0.6
5570,-0.6,-0.6,-0.6
5815,-0.6,-0.6,-0.6
5210,-0.6,-0.6,-0.6
5530,-0.6,-0.6,-0.6
5500,-0.6,-0.6,-0.6
5850,-0.6,-0.6,-0.6
5925,-0.6,-0.6,-0.6
2410,-0.6,-0.6,-0.6
3800,-0.6,-0.6,-0.6
2600,-0.6,-0.6,-0.6
